ExE(keV)	bu1	bu2	bu3	bu1bu2	bu2bu3	bu1bu3	all
5880.0	25.472	9.205	22.706	11.834	17.273	5.842	0.007
5885.0	25.611	9.29	22.561	11.612	17.305	5.976	0.002
5890.0	25.482	9.342	22.621	11.584	17.344	5.875	0.003
5895.0	25.49	9.412	22.288	11.733	17.375	6.0	0.005
5900.0	25.549	9.416	22.544	11.682	17.132	5.842	0.002
5905.0	25.45	9.352	22.412	11.738	17.41	5.799	0.005
5910.0	25.56	9.499	22.196	11.655	17.405	5.936	0.0
5915.0	25.696	9.463	22.449	11.633	17.156	5.864	0.003
5920.0	25.479	9.437	22.556	11.681	17.25	5.831	0.001
5925.0	25.459	9.372	22.348	11.838	17.366	5.797	0.005
5930.0	25.517	9.476	22.623	11.787	17.12	5.635	0.002
5935.0	25.713	9.582	22.403	11.658	17.201	5.64	0.004
5940.0	25.649	9.56	22.43	11.698	17.191	5.712	0.003
5945.0	25.822	9.384	22.345	11.54	17.235	5.687	0.002
5950.0	25.614	9.481	22.661	11.694	17.176	5.569	0.003
5955.0	25.425	9.558	22.461	11.648	17.314	5.602	0.001
5960.0	25.738	9.426	22.545	11.769	17.045	5.629	0.001
5965.0	26.044	9.311	22.306	11.546	17.335	5.548	0.001
5970.0	25.767	9.475	22.433	11.648	17.274	5.545	0.007
5975.0	25.324	9.498	22.709	11.764	17.284	5.562	0.0
5980.0	25.608	9.522	22.626	11.587	17.346	5.5	0.003
5985.0	25.587	9.742	22.471	11.422	17.237	5.624	0.003
5990.0	25.606	9.434	22.669	11.675	17.202	5.511	0.004
5995.0	25.725	9.536	22.559	11.436	17.405	5.516	0.004
6000.0	25.981	9.474	22.571	11.685	17.094	5.427	0.003
