ExE(keV)	bu1	bu2	bu3	bu1bu2	bu2bu3	bu1bu3	all
2310.0	10.843	3.615	11.963	17.637	11.416	31.298	9.823
2315.0	10.993	3.539	11.845	17.577	11.418	31.474	9.786
2320.0	10.972	3.5	11.843	17.726	11.458	31.222	9.804
2325.0	11.039	3.557	12.066	17.571	11.518	31.128	9.647
2330.0	11.01	3.679	12.032	17.545	11.666	30.985	9.6
2335.0	11.053	3.595	12.153	17.67	11.653	31.091	9.274
2340.0	11.187	3.759	12.214	17.514	11.66	30.749	9.402
2345.0	10.88	3.644	12.052	17.669	11.865	31.016	9.389
2350.0	11.076	3.535	12.294	17.83	11.74	30.74	9.278
2355.0	11.059	3.566	12.279	17.718	11.821	30.717	9.247
2360.0	11.095	3.728	12.355	17.675	11.705	30.565	9.314
2365.0	11.161	3.753	12.187	17.458	11.866	30.934	9.09
2370.0	11.132	3.572	12.436	17.5	11.75	30.792	9.175
2375.0	11.233	3.726	12.517	17.497	11.936	30.5	9.028
2380.0	11.25	3.66	12.356	17.419	12.019	30.549	9.178
2385.0	11.233	3.618	12.486	17.703	11.87	30.54	8.961
2390.0	11.405	3.586	12.69	17.583	11.894	30.325	9.035
2395.0	11.26	3.574	12.624	17.619	11.97	30.361	9.007
2400.0	11.263	3.744	12.513	17.604	12.009	30.269	8.993
2405.0	11.336	3.759	12.551	17.65	12.062	30.35	8.599
2410.0	11.217	3.761	12.887	17.651	12.034	30.15	8.653
2415.0	11.259	3.694	12.548	17.763	12.266	30.157	8.65
2420.0	11.311	3.724	12.651	17.628	12.157	30.089	8.684
2425.0	11.034	3.703	12.931	17.867	12.243	30.005	8.583
2430.0	11.311	3.681	12.847	17.609	12.376	29.892	8.545
2435.0	11.487	3.716	12.838	17.663	12.22	29.946	8.42
2440.0	11.529	3.704	12.754	17.659	12.307	29.942	8.438
2445.0	11.362	3.758	12.771	17.833	12.289	29.789	8.344
2450.0	11.463	3.736	12.722	17.743	12.462	29.609	8.428
2455.0	11.47	3.816	13.065	17.435	12.307	29.613	8.403
2460.0	11.362	3.766	12.887	18.004	12.588	29.336	8.24
2465.0	11.537	3.639	13.108	17.772	12.314	29.657	8.154
2470.0	11.422	3.833	13.173	17.689	12.42	29.298	8.313
2475.0	11.533	3.785	13.123	17.657	12.609	29.399	8.116
2480.0	11.649	3.867	13.124	17.458	12.455	29.401	8.166
2485.0	11.547	3.828	13.086	17.75	12.754	29.085	8.055
2490.0	11.613	3.745	13.383	17.567	12.652	29.341	7.836
2495.0	11.625	3.859	13.148	17.678	12.793	29.156	7.82
2500.0	11.606	3.778	13.366	17.578	12.692	29.205	7.922
2505.0	11.608	3.898	13.433	17.495	12.66	29.004	7.903
2510.0	11.604	3.849	13.417	17.715	12.767	28.883	7.773
2515.0	11.517	3.864	13.355	17.654	12.796	29.055	7.823
2520.0	11.633	3.849	13.419	17.754	12.719	29.004	7.634
2525.0	11.754	3.897	13.431	17.391	12.839	29.101	7.661
2530.0	11.679	3.723	13.463	17.909	12.836	28.729	7.704
2535.0	11.709	3.852	13.496	17.686	12.962	28.715	7.583
2540.0	11.596	3.931	13.493	17.735	13.22	28.53	7.441
2545.0	11.574	3.834	13.572	17.7	12.941	28.785	7.572
2550.0	11.732	3.887	13.674	17.602	13.039	28.558	7.525
2555.0	11.806	3.808	13.72	17.762	13.028	28.621	7.24
2560.0	11.668	3.907	13.804	17.572	12.987	28.449	7.513
2565.0	11.882	3.849	13.843	17.636	13.029	28.506	7.198
2570.0	11.997	3.857	13.724	17.76	12.981	28.398	7.206
2575.0	11.871	3.905	13.944	17.556	13.137	28.294	7.248
2580.0	11.939	3.969	13.866	17.561	13.17	28.204	7.213
2585.0	11.735	3.899	13.73	17.719	13.335	28.274	7.212
2590.0	11.913	3.983	13.844	17.688	13.21	28.252	6.964
2595.0	12.018	3.826	13.955	17.663	13.349	28.088	6.983
2600.0	11.88	3.851	13.835	17.863	13.43	28.124	6.947
2605.0	11.957	4.009	13.97	17.841	12.978	28.145	6.895
2610.0	11.848	4.003	13.828	17.717	13.555	27.885	6.981
2615.0	12.025	3.887	13.991	17.674	13.348	28.006	6.83
2620.0	12.193	3.991	14.012	17.578	13.384	27.832	6.778
2625.0	12.054	3.885	14.148	17.634	13.608	27.822	6.643
2630.0	12.212	3.978	14.174	17.718	13.478	27.672	6.573
2635.0	11.853	3.84	14.352	17.569	13.486	27.916	6.726
2640.0	12.167	3.844	14.363	17.755	13.548	27.559	6.739
2645.0	12.125	3.989	14.31	17.479	13.668	27.449	6.693
2650.0	12.187	4.015	14.301	17.663	13.643	27.367	6.577
2655.0	12.29	3.975	14.029	17.631	13.648	27.695	6.578
2660.0	12.193	4.018	14.272	17.455	13.899	27.302	6.454
2665.0	12.153	4.007	14.278	17.756	13.54	27.531	6.559
2670.0	12.276	4.084	14.425	17.49	13.76	27.28	6.454
2675.0	12.294	3.939	14.411	17.6	13.694	27.285	6.427
2680.0	12.257	3.944	14.44	17.695	13.631	27.208	6.444
2685.0	12.337	4.028	14.447	17.656	13.558	27.421	6.226
2690.0	12.232	4.008	14.445	17.669	13.888	27.219	6.255
2695.0	12.328	3.935	14.527	17.389	13.784	27.223	6.405
2700.0	12.403	4.025	14.292	17.785	13.819	27.128	6.25
2705.0	12.374	4.048	14.526	17.705	13.89	26.749	6.226
2710.0	12.358	4.151	14.402	17.508	13.889	26.928	6.252
2715.0	12.297	4.059	14.59	17.852	13.925	26.865	5.936
2720.0	12.178	4.044	14.749	17.659	14.058	26.955	6.054
2725.0	12.307	4.076	14.684	17.791	13.936	26.807	5.983
2730.0	12.516	4.056	14.601	17.46	14.076	26.979	5.979
2735.0	12.455	4.195	14.683	17.822	14.005	26.514	5.904
2740.0	12.445	3.981	14.575	17.665	14.044	26.836	5.911
2745.0	12.516	4.043	14.692	17.446	14.068	26.888	5.842
2750.0	12.598	4.076	14.719	17.677	13.992	26.524	5.816
2755.0	12.496	4.12	14.837	17.751	14.241	26.265	5.715
2760.0	12.491	4.071	14.693	18.0	14.167	26.461	5.703
2765.0	12.668	4.351	14.771	17.588	14.2	26.463	5.625
2770.0	12.626	4.188	14.637	17.674	14.235	26.434	5.646
2775.0	12.529	4.175	15.124	17.832	14.287	25.973	5.61
2780.0	12.796	4.122	14.665	17.583	14.162	26.449	5.633
2785.0	12.651	4.188	14.893	17.743	14.196	26.312	5.501
2790.0	12.663	4.09	14.998	17.785	14.364	25.999	5.59
2795.0	12.73	4.153	14.799	17.756	14.394	26.119	5.489
2800.0	12.619	4.183	15.065	17.665	14.274	26.153	5.501
2805.0	12.884	4.177	15.232	17.581	14.325	25.844	5.344
2810.0	12.947	4.066	15.051	17.664	14.507	25.813	5.358
2815.0	12.645	4.247	15.19	17.614	14.383	25.8	5.456
2820.0	12.867	4.186	15.17	17.538	14.524	25.785	5.317
2825.0	12.741	4.218	15.245	17.462	14.426	25.784	5.474
2830.0	12.686	4.113	15.019	17.724	14.502	25.844	5.365
2835.0	12.799	4.163	15.121	17.65	14.43	25.728	5.346
2840.0	12.948	4.172	15.253	17.48	14.51	25.669	5.27
2845.0	12.851	4.225	15.15	17.626	14.548	25.681	5.18
2850.0	12.84	4.256	15.226	17.851	14.527	25.412	5.229
2855.0	12.901	4.242	15.401	17.639	14.578	25.446	5.068
2860.0	12.897	4.273	15.095	17.582	14.736	25.608	5.111
2865.0	13.219	4.2	15.344	17.583	14.735	25.195	4.959
2870.0	12.965	4.203	15.63	17.356	14.755	25.37	5.037
2875.0	13.071	4.227	15.279	17.4	14.75	25.686	4.911
2880.0	13.012	4.205	15.407	17.368	14.713	25.402	5.082
2885.0	13.021	4.209	15.531	17.453	14.814	25.261	4.989
2890.0	13.17	4.256	15.559	17.642	14.698	24.939	4.995
2895.0	13.226	4.248	15.511	17.433	14.763	25.131	5.026
2900.0	13.27	4.321	15.43	17.445	14.849	25.052	4.817
2905.0	13.12	4.316	15.604	17.475	14.901	24.99	4.775
2910.0	13.071	4.315	15.466	17.708	14.859	24.983	4.832
2915.0	13.263	4.337	15.538	17.547	14.876	24.914	4.673
2920.0	13.151	4.258	15.577	17.393	14.872	25.191	4.839
2925.0	13.292	4.224	15.493	17.594	15.083	24.773	4.705
2930.0	13.008	4.192	15.663	17.582	14.781	25.175	4.735
2935.0	13.361	4.313	15.675	17.571	14.991	24.617	4.548
2940.0	13.2	4.303	15.727	17.422	14.723	25.032	4.696
2945.0	13.395	4.258	15.767	17.537	14.771	24.733	4.575
2950.0	13.358	4.196	15.648	17.603	15.096	24.698	4.617
2955.0	13.536	4.326	15.62	17.592	15.083	24.389	4.607
2960.0	13.347	4.32	15.756	17.36	14.945	24.718	4.516
2965.0	13.502	4.321	15.68	17.458	15.168	24.477	4.464
2970.0	13.397	4.278	15.766	17.669	14.889	24.534	4.535
2975.0	13.43	4.215	15.627	17.61	15.034	24.648	4.504
2980.0	13.343	4.274	15.947	17.74	14.948	24.42	4.36
2985.0	13.439	4.418	16.044	17.529	15.163	24.154	4.414
2990.0	13.367	4.26	15.789	17.613	15.296	24.399	4.374
2995.0	13.69	4.3	15.984	17.37	15.292	24.091	4.213
3000.0	13.473	4.376	15.946	17.467	15.262	24.119	4.326
3005.0	13.535	4.361	15.729	17.737	15.391	24.037	4.205
3010.0	13.747	4.342	15.802	17.526	15.347	24.037	4.159
